# lbl	mean	std	volume
0.000000000000000000e+00	8.657014241057408022e-01	2.641281032606622725e-01	0.000000000000000000e+00
1.000000000000000000e+00	3.367200603730507447e-01	2.382765005380913792e-01	2.845300000000000000e+04
2.000000000000000000e+00	2.324137588967790935e-01	3.036891801855575168e-01	4.188300000000000000e+04
3.000000000000000000e+00	1.337065979500912938e-01	2.062448045255526330e-01	1.493900000000000000e+04
4.000000000000000000e+00	2.540845829253099430e-01	2.245126461690283015e-01	1.682600000000000000e+04
