# lbl	mean	std	volume
0.000000000000000000e+00	8.377501975416762336e-01	3.084958154679119380e-01	0.000000000000000000e+00
1.000000000000000000e+00	3.257480012821693527e-01	2.526423973252691080e-01	2.845300000000000000e+04
2.000000000000000000e+00	1.651614313270483025e-01	2.826057067705810000e-01	4.188300000000000000e+04
3.000000000000000000e+00	1.460724416219390531e-01	1.663251622306652078e-01	1.493900000000000000e+04
4.000000000000000000e+00	2.331285321689154921e-01	2.195227135992974810e-01	1.682600000000000000e+04
