# lbl	mean	std	volume
0.000000000000000000e+00	8.503595706785834762e-01	2.871364861575424476e-01	0.000000000000000000e+00
1.000000000000000000e+00	3.038376542264152880e-01	2.761274733146323324e-01	2.845300000000000000e+04
2.000000000000000000e+00	1.759632078565989133e-01	2.874744507104481372e-01	4.188300000000000000e+04
3.000000000000000000e+00	1.422969807245973994e-01	1.699881536811171101e-01	1.493900000000000000e+04
4.000000000000000000e+00	2.363902742086919917e-01	2.205823528490466756e-01	1.682600000000000000e+04
