# lbl	mean	std	volume
0.000000000000000000e+00	9.018830458723954280e-01	1.990343880041528235e-01	0.000000000000000000e+00
1.000000000000000000e+00	7.657501565201187965e-01	1.584997826200094662e-01	2.845300000000000000e+04
2.000000000000000000e+00	7.725711742465988241e-01	1.650734073099479060e-01	4.188300000000000000e+04
3.000000000000000000e+00	8.669878323399419218e-01	9.176583080547598414e-02	1.493900000000000000e+04
4.000000000000000000e+00	7.440900942559213194e-01	1.489202000451848862e-01	1.682600000000000000e+04
