# lbl	mean	std	volume
0.000000000000000000e+00	8.880888598411769141e-01	2.211347939343217273e-01	0.000000000000000000e+00
1.000000000000000000e+00	7.558120202043462355e-01	1.584676677121392430e-01	2.845300000000000000e+04
2.000000000000000000e+00	6.920020281743149981e-01	2.184485826385187679e-01	4.188300000000000000e+04
3.000000000000000000e+00	7.751601318324666812e-01	1.609061915721936575e-01	1.493900000000000000e+04
4.000000000000000000e+00	6.344085094050727625e-01	2.135734274440819480e-01	1.682600000000000000e+04
