# lbl	mean	std	volume
0.000000000000000000e+00	8.748363117487842899e-01	2.456204140594409613e-01	0.000000000000000000e+00
1.000000000000000000e+00	6.914668169324488245e-01	1.815865901673989480e-01	2.845300000000000000e+04
2.000000000000000000e+00	4.228722636385998657e-01	3.141874521087180683e-01	4.188300000000000000e+04
3.000000000000000000e+00	1.585115511834926105e-01	3.810951710723060049e-01	1.493900000000000000e+04
4.000000000000000000e+00	3.831801265742932894e-01	2.836305114119365700e-01	1.682600000000000000e+04
