# lbl	mean	std	volume
0.000000000000000000e+00	9.042961390546283562e-01	1.931012750395639244e-01	0.000000000000000000e+00
1.000000000000000000e+00	6.832100848202006249e-01	1.875562016923173758e-01	2.845300000000000000e+04
2.000000000000000000e+00	7.777998276637703157e-01	1.541046864969101149e-01	4.188300000000000000e+04
3.000000000000000000e+00	8.329242857939763711e-01	1.187008627360638252e-01	1.493900000000000000e+04
4.000000000000000000e+00	7.595312940399585599e-01	1.423517936596095934e-01	1.682600000000000000e+04
