# lbl	mean	std	volume
0.000000000000000000e+00	8.805228128221623818e-01	2.342402844436294040e-01	0.000000000000000000e+00
1.000000000000000000e+00	6.605445816499116996e-01	1.780531719048651096e-01	2.845300000000000000e+04
2.000000000000000000e+00	5.219907463078513610e-01	3.043159582182465850e-01	4.188300000000000000e+04
3.000000000000000000e+00	3.467319116281850078e-01	4.200895649370056106e-01	1.493900000000000000e+04
4.000000000000000000e+00	4.551797450013065904e-01	3.250333385136799924e-01	1.682600000000000000e+04
