# lbl	mean	std	volume
0.000000000000000000e+00	8.921762148636604994e-01	2.125141004626288910e-01	0.000000000000000000e+00
1.000000000000000000e+00	6.797590874358170332e-01	1.803220381977182207e-01	2.845300000000000000e+04
2.000000000000000000e+00	7.421975123885418135e-01	1.747554275917830857e-01	4.188300000000000000e+04
3.000000000000000000e+00	8.077607436481030190e-01	1.266407512560543958e-01	1.493900000000000000e+04
4.000000000000000000e+00	6.933756348760959920e-01	1.808610565841010376e-01	1.682600000000000000e+04
