# lbl	mean	std	volume
0.000000000000000000e+00	8.916177032598994190e-01	2.147868557816504653e-01	0.000000000000000000e+00
1.000000000000000000e+00	5.985868021976020747e-01	2.106683112246762191e-01	2.845300000000000000e+04
2.000000000000000000e+00	5.648964596984271669e-01	1.840122259099312707e-01	4.188300000000000000e+04
3.000000000000000000e+00	5.366005956074830774e-01	2.303918729806923582e-01	1.493900000000000000e+04
4.000000000000000000e+00	5.186462690039200796e-01	2.115310758607609198e-01	1.682600000000000000e+04
