# lbl	mean	std	volume
0.000000000000000000e+00	8.847255594144038948e-01	2.285644674013072586e-01	0.000000000000000000e+00
1.000000000000000000e+00	5.480542984718121957e-01	2.239838983295599772e-01	2.845300000000000000e+04
2.000000000000000000e+00	4.827143252443416022e-01	2.118279410951867392e-01	4.188300000000000000e+04
3.000000000000000000e+00	5.591639654196902537e-02	2.943313156639077444e-01	1.493900000000000000e+04
4.000000000000000000e+00	4.246605361199636275e-01	2.710833013497147004e-01	1.682600000000000000e+04
