# lbl	mean	std	volume
0.000000000000000000e+00	9.012147906257126362e-01	1.986398741236523324e-01	0.000000000000000000e+00
1.000000000000000000e+00	6.040576775382153762e-01	2.150643286004755295e-01	2.845300000000000000e+04
2.000000000000000000e+00	5.917773332154551147e-01	1.908439968230934980e-01	4.188300000000000000e+04
3.000000000000000000e+00	6.164310777809859365e-01	2.123459730854020955e-01	1.493900000000000000e+04
4.000000000000000000e+00	5.216393914846373381e-01	2.132955722173095203e-01	1.682600000000000000e+04
