# lbl	mean	std	volume
0.000000000000000000e+00	8.646340529323931490e-01	2.615131048941611858e-01	0.000000000000000000e+00
1.000000000000000000e+00	5.079304841664490366e-01	2.499611726735231632e-01	2.845300000000000000e+04
2.000000000000000000e+00	3.190354505034374011e-01	3.577780642392774380e-01	4.188300000000000000e+04
3.000000000000000000e+00	3.831938052396579447e-02	2.238553173196470847e-01	1.493900000000000000e+04
4.000000000000000000e+00	3.547970583340951944e-01	3.721999896022856746e-01	1.682600000000000000e+04
