# lbl	mean	std	volume
0.000000000000000000e+00	8.745116346271180063e-01	2.439065709056469078e-01	0.000000000000000000e+00
1.000000000000000000e+00	5.273314461726168467e-01	2.544929796336732886e-01	2.845300000000000000e+04
2.000000000000000000e+00	5.491410722972543956e-01	2.831831075958838317e-01	4.188300000000000000e+04
3.000000000000000000e+00	8.876295907014289388e-02	3.715445247492475400e-01	1.493900000000000000e+04
4.000000000000000000e+00	4.770945975127472982e-01	3.046288636735419164e-01	1.682600000000000000e+04
